Name                       Location              DrillSize        Start<->End
SMDRX0_30Y2_16             (53.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (53.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (54.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (54.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (55.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (55.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (56.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (56.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (57.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (57.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (58.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (58.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (59.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (59.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (60.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (60.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (61.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (61.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (62.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (62.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (63.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (63.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (64.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (64.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (65.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (65.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (66.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (66.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (67.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (67.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (68.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (68.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (69.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (69.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (70.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (70.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (71.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (71.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (72.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (72.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (73.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (73.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (74.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (74.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (75.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (75.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (76.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (76.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (77.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (77.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (78.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (78.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (79.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (79.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (80.0 0.0)            0.0              TOP<->TOP
SMDRX2_50Y5_15             (-3.7972 4.7)         0.0              TOP<->TOP
SMDRX2_50Y5_15             (83.7027 4.7)         0.0              TOP<->TOP
